cycle,pc,alu,valu,load,store,flow
0,0,0,1,2,0,1
1,10254,2,1,2,0,1
2,10255,2,3,2,0,0
3,10256,3,6,2,0,0
4,10257,9,6,2,0,0
5,10258,12,6,2,0,0
6,10259,12,6,2,0,0
7,10260,12,6,1,0,0
8,10261,12,6,2,0,0
9,10262,12,6,1,0,0
10,10263,12,6,2,0,0
11,10264,12,6,2,0,0
12,10265,12,6,2,0,0
13,10266,12,6,2,0,1
14,10267,12,6,2,0,1
15,10268,12,6,2,0,1
16,10269,12,6,2,1,1
17,10270,12,6,2,1,1
18,10271,12,6,2,2,1
19,10272,12,6,2,2,1
20,10273,12,6,2,2,1
21,10274,12,6,2,2,1
22,10275,12,6,2,2,1
23,10276,12,6,2,2,1
24,10277,12,6,2,2,1
25,10278,12,6,2,2,1
26,10279,12,6,2,2,1
27,10280,12,6,2,2,1
28,10281,12,6,2,2,1
29,10282,12,6,2,2,1
30,10283,12,6,2,2,1
31,10284,12,6,2,2,1
32,10285,12,6,2,2,1
33,10286,12,6,2,2,1
34,10287,12,6,2,2,1
35,10288,12,6,2,2,1
36,10289,12,6,2,2,1
37,10290,12,6,2,2,1
38,10291,12,6,2,2,1
39,10292,12,6,2,2,1
40,2588,12,6,0,2,1
41,2651,12,6,2,2,1
42,2760,12,6,2,2,1
43,2816,12,6,2,2,1
44,2848,12,6,2,2,1
45,2919,12,6,2,2,1
46,2976,12,6,2,2,1
47,3070,12,6,2,2,1
48,3134,12,6,2,2,1
49,3202,12,6,2,2,1
50,3227,12,6,2,2,1
51,3315,12,6,2,2,1
52,3394,12,6,2,2,1
53,3459,12,6,2,2,1
54,3475,12,6,2,2,1
55,3588,12,6,2,2,1
56,10293,12,6,2,2,1
57,10294,12,6,2,2,1
58,149,12,6,2,2,1
59,152,12,6,2,2,1
60,161,12,6,2,2,1
61,173,12,6,2,2,1
62,180,12,6,2,2,1
63,186,12,6,2,2,1
64,197,12,6,2,2,1
65,200,12,6,2,2,1
66,10295,12,6,2,2,1
67,10296,12,6,2,2,1
68,10297,12,6,2,2,1
69,10298,12,6,2,2,1
70,10299,12,6,2,2,1
71,10300,12,6,2,2,1
72,10301,12,6,2,2,1
73,10302,12,6,2,2,1
74,10303,12,6,2,2,1
75,10304,12,6,2,2,1
